frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
125,1,-1.1191,-1.68614,-1.13387,-1.73082,0.0,0.0071584,0.007566
126,1,-0.8987,-1.36981,-0.90867,-1.41038,0.0,0.0076286,0.0081595
127,1,-0.67602,-1.03965,-0.69529,-1.08309,0.0,0.0073227,0.0084027
128,1,-0.45163,-0.69898,-0.47268,-0.74072,0.0,0.0076434,0.008792
129,1,-0.2261,-0.35127,-0.24616,-0.3928,0.0,0.0077756,0.0089336
130,1,-0.0,-0.0,-0.01681,-0.04301,0.0,0.007863,0.0089747
131,1,0.2261,0.35127,0.20701,0.3051,0.0,0.0077003,0.0089502
132,1,0.45163,0.69898,0.4383,0.65245,0.0,0.0079078,0.0088974
133,1,0.67602,1.03965,0.66333,0.99898,0.0,0.0077281,0.0089002
134,1,0.8987,1.36981,0.88461,1.33095,0.0,0.0075642,0.0085029
135,1,1.1191,1.68614,1.1029,1.65133,0.0,0.0074337,0.0081863
136,1,1.33669,1.98544,1.31559,1.94741,0.0,0.0071783,0.00752
137,1,1.55089,2.2647,1.52956,2.22641,0.0,0.0071463,0.0070306
138,1,1.76118,2.52108,1.74255,2.48605,0.0,0.007041,0.0064856
139,1,1.96702,2.75201,1.94895,2.72472,0.0,0.0067715,0.0059179
140,1,2.16789,2.95515,2.14813,2.92445,0.0,0.0064122,0.004843
141,1,2.36329,3.12845,2.34097,3.08915,0.0,0.0062105,0.0041575
142,1,2.55271,3.27015,2.53338,3.23357,0.0,0.0060125,0.0033282
143,1,2.73569,3.37884,2.71824,3.34297,0.0,0.0056599,0.0023661
144,1,2.91175,3.4534,2.8959,3.41429,0.0,0.0053047,0.0013155
145,1,3.08046,3.49309,3.0688,3.45892,0.0,0.0050641,0.000578
146,1,3.24139,3.49751,3.22209,3.45804,0.0,0.004329,-0.0006336
147,1,3.39413,3.46662,3.37639,3.43435,0.0,0.0042667,-0.0012843
148,1,3.5383,3.40071,3.52061,3.37424,0.0,0.0038369,-0.0022761
149,1,3.67353,3.30047,3.66296,3.26925,0.0,0.0036059,-0.0035404
150,1,3.79948,3.16689,3.78687,3.13826,0.0,0.002981,-0.004204
151,1,3.91583,3.00134,3.90553,2.97116,0.0,0.002689,-0.0052063
152,1,4.02229,2.80548,4.00967,2.77721,0.0,0.0021719,-0.0059094
153,1,4.11859,2.5813,4.09981,2.55441,0.0,0.0016615,-0.0066715
154,1,4.20448,2.33104,4.18052,2.30524,0.0,0.0012904,-0.0073813
155,1,4.27975,2.05725,4.2581,2.03318,0.0,0.0011106,-0.0080173
156,1,4.34422,1.76268,4.32107,1.7389,0.0,0.0006093,-0.0085893
157,1,4.39771,1.45032,4.37639,1.42552,0.0,0.0003172,-0.0090998
158,1,4.44009,1.1233,4.41646,1.09044,0.0,-0.0002003,-0.0096542
159,1,4.47125,0.78495,4.4471,0.74567,0.0,-0.0005052,-0.0098917
160,1,4.49112,0.43867,4.46686,0.39603,0.0,-0.000832,-0.0099862
161,1,4.49965,0.08796,4.47003,0.04759,0.0,-0.0012963,-0.0098862
162,1,4.4968,-0.26364,4.46611,-0.30431,0.0,-0.0015103,-0.0099563
163,1,4.4826,-0.61258,4.45279,-0.65398,0.0,-0.001767,-0.0098557
164,1,4.45708,-0.95533,4.43356,-0.99918,0.0,-0.0019164,-0.0097054
165,1,4.42029,-1.28844,4.39372,-1.3316,0.0,-0.0024482,-0.0092617
166,1,4.37234,-1.60853,4.3397,-1.65215,0.0,-0.0028016,-0.0088688
167,1,4.31335,-1.91238,4.28094,-1.96145,0.0,-0.0028909,-0.0085313
168,1,4.24346,-2.19692,4.21044,-2.25464,0.0,-0.0031586,-0.0080283
