frame,x,y,z,dx,dy,dz
212,4.107283,-4.990134,10.000000,4.107283,-4.990134,0.000000
213,3.920524,-4.946362,10.000000,3.920524,-4.946362,0.000000
214,3.726887,-4.867895,10.000000,3.726887,-4.867895,0.000000
215,3.526712,-4.755283,10.000000,3.526712,-4.755283,0.000000
216,3.320349,-4.609316,10.000000,3.320349,-4.609316,0.000000
217,3.108162,-4.431018,10.000000,3.108162,-4.431018,0.000000
218,2.890522,-4.221640,10.000000,2.890522,-4.221640,0.000000
219,2.667811,-3.982650,10.000000,2.667811,-3.982650,0.000000
220,2.440420,-3.715724,10.000000,2.440420,-3.715724,0.000000
221,2.208747,-3.422736,10.000000,2.208747,-3.422736,0.000000
222,1.973200,-3.105739,10.000000,1.973200,-3.105739,0.000000
223,1.734191,-2.766958,10.000000,1.734191,-2.766958,0.000000
224,1.492139,-2.408768,10.000000,1.492139,-2.408768,0.000000
225,1.247470,-2.033683,10.000000,1.247470,-2.033683,0.000000
226,1.000612,-1.644333,10.000000,1.000612,-1.644333,0.000000
227,0.751999,-1.243449,10.000000,0.751999,-1.243449,0.000000
228,0.502067,-0.833844,10.000000,0.502067,-0.833844,0.000000
229,0.251254,-0.418389,10.000000,0.251254,-0.418389,0.000000
230,0.000000,-0.000000,10.000000,0.000000,-0.000000,0.000000
231,-0.251254,0.418389,10.000000,-0.251254,0.418389,0.000000
232,-0.502067,0.833844,10.000000,-0.502067,0.833844,0.000000
233,-0.751999,1.243449,10.000000,-0.751999,1.243449,0.000000
234,-1.000612,1.644333,10.000000,-1.000612,1.644333,0.000000
235,-1.247470,2.033683,10.000000,-1.247470,2.033683,0.000000
236,-1.492139,2.408768,10.000000,-1.492139,2.408768,0.000000
237,-1.734191,2.766958,10.000000,-1.734191,2.766958,0.000000
238,-1.973200,3.105739,10.000000,-1.973200,3.105739,0.000000
239,-2.208747,3.422736,10.000000,-2.208747,3.422736,0.000000
240,-2.440420,3.715724,10.000000,-2.440420,3.715724,0.000000
241,-2.667811,3.982650,10.000000,-2.667811,3.982650,0.000000
242,-2.890522,4.221640,10.000000,-2.890522,4.221640,0.000000
243,-3.108162,4.431018,10.000000,-3.108162,4.431018,0.000000
244,-3.320349,4.609316,10.000000,-3.320349,4.609316,0.000000
245,-3.526712,4.755283,10.000000,-3.526712,4.755283,0.000000
246,-3.726887,4.867895,10.000000,-3.726887,4.867895,0.000000
247,-3.920524,4.946362,10.000000,-3.920524,4.946362,0.000000
248,-4.107283,4.990134,10.000000,-4.107283,4.990134,0.000000
249,-4.286836,4.998903,10.000000,-4.286836,4.998903,0.000000
250,-4.458869,4.972609,10.000000,-4.458869,4.972609,0.000000
251,-4.623079,4.911436,10.000000,-4.623079,4.911436,0.000000
252,-4.779180,4.815813,10.000000,-4.779180,4.815813,0.000000
253,-4.926895,4.686410,10.000000,-4.926895,4.686410,0.000000
254,-5.065968,4.524135,10.000000,-5.065968,4.524135,0.000000
255,-5.196152,4.330127,10.000000,-5.196152,4.330127,0.000000
256,-5.317221,4.105746,10.000000,-5.317221,4.105746,0.000000
257,-5.428962,3.852566,10.000000,-5.428962,3.852566,0.000000
258,-5.531179,3.572363,10.000000,-5.531179,3.572363,0.000000
259,-5.623692,3.267103,10.000000,-5.623692,3.267103,0.000000
260,-5.706339,2.938926,10.000000,-5.706339,2.938926,0.000000
261,-5.778975,2.590135,10.000000,-5.778975,2.590135,0.000000
262,-5.841473,2.223176,10.000000,-5.841473,2.223176,0.000000
263,-5.893724,1.840623,10.000000,-5.893724,1.840623,0.000000
264,-5.935634,1.445159,10.000000,-5.935634,1.445159,0.000000
265,-5.967131,1.039558,10.000000,-5.967131,1.039558,0.000000
266,-5.988160,0.626666,10.000000,-5.988160,0.626666,0.000000
267,-5.998684,0.209378,10.000000,-5.998684,0.209378,0.000000
268,-5.998684,-0.209378,10.000000,-5.998684,-0.209378,0.000000
269,-5.988160,-0.626666,10.000000,-5.988160,-0.626666,0.000000
270,-5.967131,-1.039558,10.000000,-5.967131,-1.039558,0.000000
271,-5.935634,-1.445159,10.000000,-5.935634,-1.445159,0.000000
272,-5.893724,-1.840623,10.000000,-5.893724,-1.840623,0.000000
273,-5.841473,-2.223176,10.000000,-5.841473,-2.223176,0.000000
274,-5.778975,-2.590135,10.000000,-5.778975,-2.590135,0.000000
275,-5.706339,-2.938926,10.000000,-5.706339,-2.938926,0.000000
276,-5.623692,-3.267103,10.000000,-5.623692,-3.267103,0.000000
277,-5.531179,-3.572363,10.000000,-5.531179,-3.572363,0.000000
278,-5.428962,-3.852566,10.000000,-5.428962,-3.852566,0.000000
279,-5.317221,-4.105746,10.000000,-5.317221,-4.105746,0.000000
280,-5.196152,-4.330127,10.000000,-5.196152,-4.330127,0.000000
281,-5.065968,-4.524135,10.000000,-5.065968,-4.524135,0.000000
282,-4.926895,-4.686410,10.000000,-4.926895,-4.686410,0.000000
283,-4.779180,-4.815813,10.000000,-4.779180,-4.815813,0.000000
284,-4.623079,-4.911436,10.000000,-4.623079,-4.911436,0.000000
285,-4.458869,-4.972609,10.000000,-4.458869,-4.972609,0.000000
286,-4.286836,-4.998903,10.000000,-4.286836,-4.998903,0.000000
287,-4.107283,-4.990134,10.000000,-4.107283,-4.990134,0.000000
288,-3.920524,-4.946362,10.000000,-3.920524,-4.946362,0.000000
289,-3.726887,-4.867895,10.000000,-3.726887,-4.867895,0.000000
290,-3.526712,-4.755283,10.000000,-3.526712,-4.755283,0.000000
291,-3.320349,-4.609316,10.000000,-3.320349,-4.609316,0.000000
292,-3.108162,-4.431018,10.000000,-3.108162,-4.431018,0.000000
293,-2.890522,-4.221640,10.000000,-2.890522,-4.221640,0.000000
294,-2.667811,-3.982650,10.000000,-2.667811,-3.982650,0.000000
295,-2.440420,-3.715724,10.000000,-2.440420,-3.715724,0.000000
296,-2.208747,-3.422736,10.000000,-2.208747,-3.422736,0.000000
297,-1.973200,-3.105739,10.000000,-1.973200,-3.105739,0.000000
298,-1.734191,-2.766958,10.000000,-1.734191,-2.766958,0.000000
299,-1.492139,-2.408768,10.000000,-1.492139,-2.408768,0.000000
