frame,x,y,z,dx,dy,dz
125,-1.119104,-1.686138,4.000000,-1.119104,-1.686138,0.000000
126,-0.898695,-1.369808,4.000000,-0.898695,-1.369808,0.000000
127,-0.676015,-1.039646,4.000000,-0.676015,-1.039646,0.000000
128,-0.451628,-0.698985,4.000000,-0.451628,-0.698985,0.000000
129,-0.226099,-0.351266,4.000000,-0.226099,-0.351266,0.000000
130,-0.000000,-0.000000,4.000000,-0.000000,-0.000000,0.000000
131,0.226099,0.351266,4.000000,0.226099,0.351266,0.000000
132,0.451628,0.698985,4.000000,0.451628,0.698985,0.000000
133,0.676015,1.039646,4.000000,0.676015,1.039646,0.000000
134,0.898695,1.369808,4.000000,0.898695,1.369808,0.000000
135,1.119104,1.686138,4.000000,1.119104,1.686138,0.000000
136,1.336687,1.985441,4.000000,1.336687,1.985441,0.000000
137,1.550893,2.264696,4.000000,1.550893,2.264696,0.000000
138,1.761182,2.521082,4.000000,1.761182,2.521082,0.000000
139,1.967021,2.752010,4.000000,1.967021,2.752010,0.000000
140,2.167892,2.955148,4.000000,2.167892,2.955148,0.000000
141,2.363286,3.128445,4.000000,2.363286,3.128445,0.000000
142,2.552710,3.270151,4.000000,2.552710,3.270151,0.000000
143,2.735686,3.378836,4.000000,2.735686,3.378836,0.000000
144,2.911752,3.453401,4.000000,2.911752,3.453401,0.000000
145,3.080462,3.493094,4.000000,3.080462,3.493094,0.000000
146,3.241391,3.497513,4.000000,3.241391,3.497513,0.000000
147,3.394131,3.466615,4.000000,3.394131,3.466615,0.000000
148,3.538298,3.400711,4.000000,3.538298,3.400711,0.000000
149,3.673527,3.300467,4.000000,3.673527,3.300467,0.000000
150,3.799476,3.166895,4.000000,3.799476,3.166895,0.000000
151,3.915827,3.001343,4.000000,3.915827,3.001343,0.000000
152,4.022286,2.805484,4.000000,4.022286,2.805484,0.000000
153,4.118585,2.581296,4.000000,4.118585,2.581296,0.000000
154,4.204480,2.331042,4.000000,4.204480,2.331042,0.000000
155,4.279754,2.057248,4.000000,4.279754,2.057248,0.000000
156,4.344217,1.762681,4.000000,4.344217,1.762681,0.000000
157,4.397707,1.450315,4.000000,4.397707,1.450315,0.000000
158,4.440087,1.123303,4.000000,4.440087,1.123303,0.000000
159,4.471251,0.784948,4.000000,4.471251,0.784948,0.000000
160,4.491120,0.438666,4.000000,4.491120,0.438666,0.000000
161,4.499645,0.087955,4.000000,4.499645,0.087955,0.000000
162,4.496803,-0.263644,4.000000,4.496803,-0.263644,0.000000
163,4.482601,-0.612581,4.000000,4.482601,-0.612581,0.000000
164,4.457076,-0.955332,4.000000,4.457076,-0.955332,0.000000
165,4.420293,-1.288436,4.000000,4.420293,-1.288436,0.000000
166,4.372343,-1.608530,4.000000,4.372343,-1.608530,0.000000
167,4.313348,-1.912380,4.000000,4.313348,-1.912380,0.000000
168,4.243457,-2.196920,4.000000,4.243457,-2.196920,0.000000
169,4.162847,-2.459275,4.000000,4.162847,-2.459275,0.000000
170,4.071722,-2.696796,4.000000,4.071722,-2.696796,0.000000
171,3.970311,-2.907086,4.000000,3.970311,-2.907086,0.000000
172,3.858870,-3.088019,4.000000,3.858870,-3.088019,0.000000
173,3.737682,-3.237770,4.000000,3.737682,-3.237770,0.000000
174,3.607051,-3.354826,4.000000,3.607051,-3.354826,0.000000
175,3.467310,-3.438005,4.000000,3.467310,-3.438005,0.000000
176,3.318809,-3.486468,4.000000,3.318809,-3.486468,0.000000
177,3.161925,-3.499724,4.000000,3.161925,-3.499724,0.000000
178,2.997053,-3.477640,4.000000,2.997053,-3.477640,0.000000
179,2.824611,-3.420438,4.000000,2.824611,-3.420438,0.000000
180,2.645034,-3.328698,4.000000,2.645034,-3.328698,0.000000
181,2.458775,-3.203344,4.000000,2.458775,-3.203344,0.000000
182,2.266304,-3.045643,4.000000,2.266304,-3.045643,0.000000
183,2.068109,-2.857187,4.000000,2.068109,-2.857187,0.000000
184,1.864690,-2.639880,4.000000,1.864690,-2.639880,0.000000
185,1.656560,-2.395915,4.000000,1.656560,-2.395915,0.000000
186,1.444246,-2.127756,4.000000,1.444246,-2.127756,0.000000
187,1.228284,-1.838111,4.000000,1.228284,-1.838111,0.000000
188,1.009218,-1.529905,4.000000,1.009218,-1.529905,0.000000
189,0.787604,-1.206250,4.000000,0.787604,-1.206250,0.000000
190,0.564000,-0.870415,4.000000,0.564000,-0.870415,0.000000
191,0.338971,-0.525790,4.000000,0.338971,-0.525790,0.000000
192,0.113085,-0.175855,4.000000,0.113085,-0.175855,0.000000
193,-0.113085,0.175855,4.000000,-0.113085,0.175855,0.000000
194,-0.338971,0.525790,4.000000,-0.338971,0.525790,0.000000
195,-0.564000,0.870415,4.000000,-0.564000,0.870415,0.000000
