frame,x,y,z,qx,qy,qz,qw
105,0.00450596958398819,0.0014518683310598135,0.999968945980072,-12.00576400756836,-14.921181678771973,-12.986881256103516,-0.00630752369761467
106,0.004534115083515644,0.0013504080707207322,0.9999675154685974,-12.12016773223877,-15.064803123474121,-13.12801456451416,-0.006528933998197317
107,0.004600171931087971,0.0012641187058761716,0.999965488910675,-12.23653793334961,-15.206467628479004,-13.270788192749023,-0.0068017784506082535
108,0.004694898147135973,0.0012195614399388433,0.9999633431434631,-12.353723526000977,-15.349895477294922,-13.415376663208008,-0.007054765708744526
109,0.004802071955054998,0.0008920488180592656,0.9999618530273438,-12.469677925109863,-15.493046760559082,-13.56694507598877,-0.007242743391543627
110,0.0048424978740513325,0.0006177210016176105,0.9999601244926453,-12.58663558959961,-15.634952545166016,-13.714834213256836,-0.007484354078769684
111,0.004617647733539343,0.0006875449325889349,0.9999624490737915,-12.702747344970703,-15.776179313659668,-13.863032341003418,-0.0073051005601882935
112,0.004344686400145292,-0.00047745220945216715,0.9999613165855408,-12.820698738098145,-15.916610717773438,-14.021467208862305,-0.007631370797753334
113,0.00463092140853405,0.001331248669885099,0.9999629259109497,-12.938021659851074,-16.059619903564453,-14.178889274597168,-0.007136164698749781
114,-0.0007722018053755164,0.013249995186924934,0.9999101161956787,-13.05769157409668,-16.19161605834961,-14.335647583007812,-0.0019297576509416103
115,-0.009120146743953228,0.01836852729320526,0.9997838735580444,-13.16955852508545,-16.33213233947754,-14.47768783569336,0.0034030054230242968
116,-0.011256076395511627,0.018471254035830498,0.9997574687004089,-13.278361320495605,-16.477127075195312,-14.611659049987793,0.004146215971559286
117,-0.010993685573339462,0.019289305433630943,0.9997444748878479,-13.395872116088867,-16.62082290649414,-14.744528770446777,0.004271895624697208
118,-0.011230328120291233,0.019201725721359253,0.9997419118881226,-13.514165878295898,-16.766111373901367,-14.867313385009766,0.004610288422554731
119,-0.011430495418608189,0.01973838545382023,0.999729335308075,-13.630419731140137,-16.912874221801758,-14.993551254272461,0.004595077596604824
120,-0.010731002315878868,0.020480003207921982,0.9997214078903198,-13.748714447021484,-17.056625366210938,-15.125775337219238,0.004747931379824877
121,-0.01103281695395708,0.022142374888062477,0.9996830821037292,-13.866819381713867,-17.203615188598633,-15.239368438720703,0.004657736048102379
122,-0.008184843696653843,-0.001543702557682991,0.999843955039978,-13.983562469482422,-17.353302001953125,-15.344399452209473,0.015579082071781158
123,-0.007706600707024336,-0.006410863716155291,0.9998044371604919,-14.105049133300781,-17.504507064819336,-15.462892532348633,0.017044978216290474
124,-0.007644081488251686,-0.006817501969635487,0.9998061656951904,-14.223393440246582,-17.651273727416992,-15.594804763793945,0.016815200448036194
125,-0.007625984493643045,-0.007013787515461445,0.9998104572296143,-14.340829849243164,-17.797718048095703,-15.7274169921875,0.016487237066030502
126,-0.007582461461424828,-0.007050173822790384,0.9998130202293396,-14.45768928527832,-17.943815231323242,-15.861629486083984,0.016334300860762596
