frame,dx,dy,dz
191,-0.24224134,-0.02109398,-0.04625869
192,-0.24215509,-0.01735091,-0.04619807
193,-0.24210787,-0.01543308,-0.04615563
194,-0.24202159,-0.01394449,-0.04611433
195,-0.24196088,-0.01243881,-0.04607880
196,-0.24195173,-0.01064844,-0.04605508
197,-0.24196193,-0.00862835,-0.04604739
198,-0.24200708,-0.00716767,-0.04606605
199,-0.24206226,-0.00676446,-0.04608250
200,-0.24208128,-0.00656656,-0.04608768
201,-0.24207643,-0.00640874,-0.04608411
202,-0.24209550,-0.00595575,-0.04609144
203,-0.24213675,-0.00547497,-0.04610723
204,-0.24214752,-0.00523454,-0.04611576
205,-0.24215418,-0.00513383,-0.04612380
206,-0.24215195,-0.00524649,-0.04613131
207,-0.24213667,-0.00574944,-0.04613727
208,-0.24206947,-0.00725126,-0.04613721
209,-0.24200699,-0.00860509,-0.04612952
210,-0.24200977,-0.01076341,-0.04614961
211,-0.24204290,-0.01249283,-0.04618025
212,-0.24206306,-0.01383959,-0.04620641
213,-0.24210387,-0.01491477,-0.04623574
214,-0.24787886,-0.01137937,-0.04955304
215,-0.24787822,-0.01178236,-0.04956669
216,-0.25031678,-0.01124688,-0.05094701
217,-0.25030498,-0.01145672,-0.05095088
218,-0.25029533,-0.01219031,-0.05096322
219,-0.25290661,-0.02585060,-0.05305570
220,-0.25292177,-0.02604389,-0.05307984
221,-0.25330381,-0.04173810,-0.05461299
222,-0.25331609,-0.04139813,-0.05460298
223,-0.25566043,-0.02832074,-0.05579340
224,-0.25567369,-0.02778339,-0.05577958
225,-0.25565182,-0.02636123,-0.05571789
226,-0.25618102,-0.04111668,-0.05757779
227,-0.25626074,-0.03762730,-0.05742484
228,-0.25628547,-0.04915730,-0.05893195
229,-0.25642018,-0.04926730,-0.05897939
230,-0.25674389,-0.04889604,-0.05907822
231,-0.25707035,-0.03574909,-0.05960727
232,-0.25708686,-0.03645366,-0.05965185
233,-0.25683100,-0.03726154,-0.06065226
234,-0.25690745,-0.03575113,-0.06061333
235,-0.25701584,-0.03539928,-0.06063968
236,-0.25542612,-0.02652998,-0.06087220
237,-0.25545190,-0.02664317,-0.06090021
238,-0.25550039,-0.02623193,-0.06091148
239,-0.25286753,-0.02911727,-0.06122059
240,-0.25284947,-0.02870007,-0.06120741
241,-0.25132816,-0.03215064,-0.06201631
242,-0.25133689,-0.03203744,-0.06200898
243,-0.25128911,-0.03217711,-0.06201184
244,-0.24987946,-0.02045124,-0.06226212
245,-0.24990924,-0.02227861,-0.06233466
246,-0.24702820,-0.02115686,-0.06240666
247,-0.24703835,-0.02113477,-0.06240249
248,-0.24384849,-0.02038838,-0.06253201
249,-0.24382667,-0.02034630,-0.06253070
250,-0.24052857,-0.01431109,-0.06257463
251,-0.24056345,-0.01453452,-0.06259996
252,-0.24058305,-0.01471696,-0.06262016
253,-0.23624870,-0.01393285,-0.06234199
254,-0.23624074,-0.01391217,-0.06234920
255,-0.23622733,-0.01389978,-0.06235230
256,-0.23128548,-0.01151671,-0.06208426
257,-0.23121968,-0.01125536,-0.06207311
258,-0.22592130,0.00037709,-0.06136900
259,-0.22596352,-0.00010587,-0.06140089
260,-0.22593780,-0.00005626,-0.06140590
261,-0.22109075,-0.00522882,-0.06136811
262,-0.22105537,-0.00523998,-0.06137258
263,-0.21622604,0.00131967,-0.06091595
264,-0.21618609,0.00142233,-0.06090498
265,-0.21611629,0.00156903,-0.06088907
266,-0.20960507,0.00625170,-0.06017596
267,-0.20955078,0.00644562,-0.06015825
268,-0.20373455,0.00613486,-0.05964583
269,-0.20376307,0.00596579,-0.05966353
270,-0.20378238,0.00585630,-0.05967832
271,-0.19703656,0.01315621,-0.05896342
272,-0.19700108,0.01319757,-0.05895901
273,-0.18975149,0.01642502,-0.05827850
274,-0.18974051,0.01648495,-0.05827737
275,-0.18255261,0.01870591,-0.05752605
276,-0.18251197,0.01877304,-0.05751050
277,-0.18247305,0.01883401,-0.05749774
278,-0.17482480,0.02094463,-0.05679005
279,-0.17480166,0.02089817,-0.05679047
280,-0.16721232,0.02359710,-0.05617017
281,-0.16718778,0.02367662,-0.05616111
282,-0.16717076,0.02364666,-0.05615848
283,-0.16000855,0.02324741,-0.05565500
284,-0.15988794,0.02317953,-0.05564207
285,-0.15276702,0.02375796,-0.05507916
286,-0.15296790,0.02422293,-0.05508697
287,-0.15316002,0.02477000,-0.05507368
288,-0.14440308,0.02822886,-0.05419672
289,-0.14441027,0.02826596,-0.05419344
290,-0.13539624,0.03114755,-0.05354452
291,-0.13539907,0.03134432,-0.05352497
292,-0.12699045,0.03638636,-0.05268455
293,-0.12696655,0.03661338,-0.05266553
294,-0.11858086,0.04039968,-0.05189890
295,-0.11857530,0.04022292,-0.05188996
296,-0.11860325,0.03941234,-0.05186623
297,-0.10987249,0.04269891,-0.05110842
298,-0.11043015,0.04318538,-0.05116379
299,-0.11042695,0.04321406,-0.05116552
