frame,x,y
390,0.062802,1.273355
391,0.062103,1.268686
392,0.061375,1.207943
393,0.060869,1.155639
394,0.060561,1.143467
395,0.121291,-1.616601
396,0.120856,-1.605795
397,0.120362,-1.592685
398,0.119782,-1.577155
399,0.119208,-1.561191
400,0.118660,-1.545847
401,0.118039,-1.526863
402,0.117313,-1.508207
403,0.161841,-1.645378
404,0.161252,-1.637358
405,0.160637,-1.631204
406,0.160062,-1.624351
407,0.159533,-1.619139
408,0.158979,-1.615078
409,0.158479,-1.610000
410,0.210744,-1.741121
411,0.210341,-1.744493
412,0.209909,-1.747824
413,0.209438,-1.749000
414,0.208935,-1.748434
415,0.208397,-1.746893
416,0.207914,-1.746253
417,0.207402,-1.743956
418,0.260164,-1.784542
419,0.259516,-1.785719
420,0.258856,-1.785912
421,0.258217,-1.785581
422,0.257583,-1.786056
423,0.256985,-1.786670
424,0.256322,-1.786780
425,0.255633,-1.786487
426,0.312012,-1.674670
427,0.311491,-1.681882
428,0.310997,-1.689923
429,0.310526,-1.698663
430,0.310052,-1.707863
431,0.309597,-1.718154
432,0.309138,-1.728229
433,0.308688,-1.737567
434,0.371472,-1.706680
435,0.371158,-1.711115
436,0.370848,-1.717031
437,0.370833,-1.728868
438,0.370759,-1.743613
439,0.370501,-1.747631
440,0.372197,-1.719701
441,0.437027,-1.783284
442,0.437065,-1.781510
443,0.437308,-1.787720
444,0.437571,-1.794492
445,0.437817,-1.801110
446,0.438240,-1.813548
447,0.438989,-1.838565
448,0.511159,-1.736065
449,0.511393,-1.747987
450,0.511709,-1.758963
451,0.512121,-1.775963
452,0.512701,-1.797718
453,0.513497,-1.828499
454,0.514234,-1.854173
455,0.514622,-1.867173
456,0.514900,-1.879757
457,0.595073,-1.948707
458,0.595538,-1.952108
459,0.596041,-1.957400
460,0.596592,-1.971411
461,0.597083,-1.987171
462,0.597506,-2.003621
463,0.597823,-2.019161
464,0.598039,-2.031914
465,0.674877,-1.870197
466,0.675717,-1.896028
467,0.677049,-1.931902
468,0.678387,-1.968458
469,0.679491,-1.993526
470,0.680154,-2.006966
471,0.680539,-2.013003
472,0.761265,-1.918998
473,0.761458,-1.920563
474,0.761698,-1.921493
475,0.761887,-1.918815
476,0.762079,-1.915813
477,0.762198,-1.913439
478,0.762334,-1.911128
479,0.762438,-1.910930
480,0.850188,-2.018292
481,0.850176,-2.015917
482,0.850298,-2.017309
483,0.850602,-2.018281
484,0.851017,-2.021439
485,0.851603,-2.026834
486,0.852168,-2.031064
487,0.852751,-2.039197
488,0.938220,-2.128829
489,0.938359,-2.129531
490,0.938587,-2.128632
491,0.938930,-2.128794
492,0.939253,-2.127947
493,0.939563,-2.127604
494,0.939768,-2.125481
495,1.039650,-2.016814
496,1.039446,-2.020028
497,1.039215,-2.021286
498,1.039144,-2.022100
499,1.039340,-2.018900
500,1.039529,-2.017857
