frame,dx,dy,dz
330,0.01605628,-0.00129309,-0.00032103
331,0.01615404,-0.00127207,-0.00032401
332,0.01625994,-0.00123858,-0.00032669
333,0.01633596,-0.00122948,-0.00032902
334,0.01640626,-0.00122776,-0.00033116
335,0.01647741,-0.00123003,-0.00033337
336,0.01654685,-0.00126417,-0.00033551
337,0.01658734,-0.00124549,-0.00033736
338,0.01662275,-0.00120891,-0.00033903
339,0.01664953,-0.00115499,-0.00034052
340,0.01665913,-0.00108852,-0.00034159
341,0.01666988,-0.00095972,-0.00034285
342,0.01669481,-0.00085000,-0.00034422
343,0.01672254,-0.00078169,-0.00034565
344,0.01676490,-0.00071265,-0.00034702
345,0.01682910,-0.00076122,-0.00034934
346,0.01690176,-0.00086491,-0.00035197
347,0.01699364,-0.00104907,-0.00035417
348,0.01708051,-0.00123593,-0.00035566
349,0.01718150,-0.00131735,-0.00035763
350,0.01728897,-0.00130317,-0.00035983
351,-0.00068266,0.00272920,-0.00005466
352,-0.00066498,0.00270248,-0.00005525
353,-0.00065098,0.00265952,-0.00005591
354,-0.00056749,0.00251718,-0.00005651
355,-0.00052575,0.00247421,-0.00005698
356,-0.00054137,0.00250614,-0.00005734
357,-0.00054244,0.00252724,-0.00005776
358,-0.00057173,0.00263029,-0.00005811
359,-0.01107312,0.00800549,-0.00009495
360,-0.01137032,0.00820418,-0.00009954
361,-0.01158348,0.00833075,-0.00010276
362,-0.01170300,0.00834855,-0.00010425
363,-0.01178244,0.00835707,-0.00010520
364,-0.01182870,0.00831866,-0.00010556
365,-0.01181159,0.00825491,-0.00010496
366,-0.01181135,0.00819812,-0.00010461
367,-0.01661329,0.00389826,-0.00014216
368,-0.01663533,0.00405849,-0.00014311
369,-0.01662441,0.00416532,-0.00014323
370,-0.01656713,0.00424550,-0.00014257
371,-0.01647212,0.00428942,-0.00014108
372,-0.01644356,0.00437104,-0.00014085
373,-0.02417870,0.00585449,-0.00030929
374,-0.02418004,0.00589509,-0.00030959
375,-0.02428583,0.00605830,-0.00031334
376,-0.02435068,0.00612735,-0.00031555
377,-0.02442497,0.00614865,-0.00031769
378,-0.02446041,0.00612647,-0.00031859
379,-0.03120526,0.00640471,-0.00053579
380,-0.03109948,0.00611428,-0.00053036
381,-0.03101821,0.00593866,-0.00052619
382,-0.03091633,0.00563796,-0.00052047
383,-0.03087491,0.00539021,-0.00051731
384,-0.03086213,0.00525235,-0.00051552
385,-0.03082377,0.00509069,-0.00051296
386,-0.03077928,0.00482576,-0.00051010
387,-0.04803833,0.01006507,-0.00135165
388,-0.04733276,0.01062159,-0.00131440
389,-0.04689920,0.01097963,-0.00129104
390,-0.04635849,0.01158192,-0.00126469
391,-0.04611875,0.01153946,-0.00125062
392,-0.04592675,0.01098697,-0.00123596
393,-0.04581061,0.01051123,-0.00122577
394,-0.04575598,0.01040052,-0.00121957
395,-0.05961515,-0.01470395,-0.00244254
396,-0.05955180,-0.01460567,-0.00243378
397,-0.05948233,-0.01448642,-0.00242382
398,-0.05939819,-0.01434517,-0.00241214
399,-0.05931933,-0.01419996,-0.00240058
400,-0.05925007,-0.01406040,-0.00238955
401,-0.05916968,-0.01388773,-0.00237703
402,-0.05906626,-0.01371804,-0.00236243
403,-0.07063885,-0.01496570,-0.00325912
404,-0.07055454,-0.01489275,-0.00324726
405,-0.07045677,-0.01483677,-0.00323486
406,-0.07037032,-0.01477444,-0.00322330
407,-0.07028621,-0.01472703,-0.00321263
408,-0.07018307,-0.01469010,-0.00320148
409,-0.07009357,-0.01464391,-0.00319141
410,-0.07999415,-0.01583653,-0.00424391
411,-0.07992820,-0.01586720,-0.00423580
412,-0.07985634,-0.01589751,-0.00422710
413,-0.07978398,-0.01590820,-0.00421762
414,-0.07971082,-0.01590305,-0.00420749
415,-0.07963409,-0.01588903,-0.00419664
416,-0.07956466,-0.01588321,-0.00418693
417,-0.07949498,-0.01586232,-0.00417662
418,-0.08869811,-0.01623148,-0.00523913
419,-0.08860964,-0.01624218,-0.00522608
420,-0.08852068,-0.01624393,-0.00521278
421,-0.08843447,-0.01624093,-0.00519991
422,-0.08834653,-0.01624525,-0.00518715
423,-0.08826347,-0.01625083,-0.00517511
424,-0.08817155,-0.01625183,-0.00516176
425,-0.08807566,-0.01624917,-0.00514787
426,-0.09725330,-0.01523213,-0.00628322
427,-0.09717260,-0.01529772,-0.00627273
428,-0.09709345,-0.01537086,-0.00626278
429,-0.09701586,-0.01545036,-0.00625330
430,-0.09693534,-0.01553403,-0.00624377
431,-0.09685404,-0.01562763,-0.00623459
432,-0.09677148,-0.01571928,-0.00622535
433,-0.09669168,-0.01580421,-0.00621629
434,-0.10556366,-0.01552328,-0.00748062
435,-0.10552166,-0.01556361,-0.00747430
436,-0.10547219,-0.01561742,-0.00746804
437,-0.10546190,-0.01572509,-0.00746775
438,-0.10544792,-0.01585920,-0.00746626
439,-0.10542174,-0.01589574,-0.00746107
440,-0.10538135,-0.01564171,-0.00749522
441,-0.11365014,-0.01622003,-0.00880075
442,-0.11368496,-0.01620390,-0.00880152
443,-0.11372475,-0.01626038,-0.00880641
444,-0.11376406,-0.01632198,-0.00881171
445,-0.11379795,-0.01638217,-0.00881666
446,-0.11383069,-0.01649530,-0.00882518
447,-0.11386140,-0.01672284,-0.00884026
448,-0.12286842,-0.01579054,-0.01029360
449,-0.12287401,-0.01589898,-0.01029831
450,-0.12289466,-0.01599881,-0.01030469
451,-0.12290362,-0.01615344,-0.01031297
452,-0.12291083,-0.01635131,-0.01032466
453,-0.12291519,-0.01663129,-0.01034069
454,-0.12292709,-0.01686481,-0.01035553
455,-0.12292827,-0.01698305,-0.01036334
456,-0.12292259,-0.01709752,-0.01036894
457,-0.13169678,-0.01772466,-0.01198345
458,-0.13174675,-0.01775558,-0.01199281
459,-0.13179867,-0.01780372,-0.01200294
460,-0.13184030,-0.01793116,-0.01201403
461,-0.13186723,-0.01807450,-0.01202393
462,-0.13188745,-0.01822413,-0.01203245
463,-0.13189149,-0.01836548,-0.01203883
464,-0.13189654,-0.01848147,-0.01204318
465,-0.14019726,-0.01701055,-0.01359051
466,-0.14021239,-0.01724550,-0.01360744
467,-0.14025828,-0.01757180,-0.01363426
468,-0.14030303,-0.01790430,-0.01366121
469,-0.14034839,-0.01813231,-0.01368344
470,-0.14038244,-0.01825455,-0.01369679
471,-0.14041653,-0.01830946,-0.01370454
472,-0.14830339,-0.01745444,-0.01533020
473,-0.14832693,-0.01746867,-0.01533407
474,-0.14836457,-0.01747713,-0.01533890
475,-0.14841405,-0.01745277,-0.01534271
476,-0.14845891,-0.01742546,-0.01534659
477,-0.14848921,-0.01740387,-0.01534897
478,-0.14852318,-0.01738285,-0.01535171
479,-0.14854862,-0.01738104,-0.01535380
480,-0.15590273,-0.01835757,-0.01712090
481,-0.15591897,-0.01833597,-0.01712066
482,-0.15593833,-0.01834863,-0.01712310
483,-0.15597470,-0.01835747,-0.01712924
484,-0.15601894,-0.01838620,-0.01713759
485,-0.15608510,-0.01843527,-0.01714939
486,-0.15614963,-0.01847374,-0.01716077
487,-0.15619923,-0.01854771,-0.01717252
488,-0.16318505,-0.01936297,-0.01889366
489,-0.16321041,-0.01936936,-0.01889646
490,-0.16324899,-0.01936118,-0.01890105
491,-0.16328812,-0.01936265,-0.01890796
492,-0.16331922,-0.01935494,-0.01891446
493,-0.16335516,-0.01935183,-0.01892072
494,-0.16338305,-0.01933252,-0.01892483
495,-0.17182282,-0.01834413,-0.02093625
496,-0.17182064,-0.01837336,-0.02093214
497,-0.17181854,-0.01838481,-0.02092749
498,-0.17183501,-0.01839221,-0.02092606
499,-0.17187698,-0.01836310,-0.02092999
500,-0.17192215,-0.01835362,-0.02093381
501,-0.17195584,-0.01834367,-0.02093560
502,-0.17197415,-0.01834171,-0.02093279
503,-0.17784421,-0.02027214,-0.02271491
504,-0.17788217,-0.02031011,-0.02271491
505,-0.17790294,-0.02029950,-0.02270907
506,-0.17793541,-0.02023833,-0.02270061
507,-0.17794365,-0.02019548,-0.02269137
508,-0.18497005,-0.02017070,-0.02473718
509,-0.18494105,-0.02016143,-0.02472347
510,-0.18490787,-0.02014052,-0.02470875
511,-0.18486123,-0.02012854,-0.02469230
512,-0.18482776,-0.02013183,-0.02467841
513,-0.18480705,-0.02011561,-0.02466667
514,-0.18479948,-0.02009586,-0.02465719
515,-0.19098210,-0.02090543,-0.02654743
516,-0.19099414,-0.02093782,-0.02654260
517,-0.19101735,-0.02095136,-0.02653956
518,-0.19104557,-0.02095691,-0.02653807
519,-0.19106399,-0.02095989,-0.02653384
520,-0.19108364,-0.02097156,-0.02653128
521,-0.19109580,-0.02099049,-0.02652657
522,-0.19110251,-0.02101721,-0.02652138
523,-0.19668627,-0.02462007,-0.02861702
524,-0.19667462,-0.02457533,-0.02860242
525,-0.19665247,-0.02455519,-0.02858818
526,-0.19664238,-0.02450769,-0.02857524
527,-0.19663452,-0.02447082,-0.02856338
528,-0.19663064,-0.02441318,-0.02855098
529,-0.19662909,-0.02434859,-0.02853954
530,-0.19664639,-0.02425443,-0.02853292
531,-0.20270144,-0.02422461,-0.03054500
532,-0.20269014,-0.02423448,-0.03053373
533,-0.20267743,-0.02423461,-0.03052157
534,-0.20265648,-0.02425504,-0.03050989
535,-0.20263618,-0.02429283,-0.03049976
536,-0.20263037,-0.02432381,-0.03049296
537,-0.20264164,-0.02433616,-0.03048825
538,-0.20763674,-0.02587560,-0.03237480
539,-0.20759261,-0.02595476,-0.03236204
540,-0.20755018,-0.02604103,-0.03234911
541,-0.20750357,-0.02612867,-0.03233498
542,-0.20746358,-0.02620597,-0.03232330
543,-0.20743449,-0.02625648,-0.03231275
544,-0.20740444,-0.02631700,-0.03230274
545,-0.21290603,-0.02647649,-0.03435034
546,-0.21286427,-0.02652608,-0.03433061
547,-0.21282257,-0.02655645,-0.03431100
548,-0.21277563,-0.02658927,-0.03429180
549,-0.21273734,-0.02663757,-0.03427517
550,-0.21269932,-0.02669648,-0.03426057
551,-0.21724446,-0.02896182,-0.03620940
552,-0.21715729,-0.02917161,-0.03619319
553,-0.21706730,-0.02940677,-0.03617620
554,-0.21697131,-0.02964468,-0.03615689
555,-0.21688330,-0.02988924,-0.03613925
556,-0.21679545,-0.03010041,-0.03612024
557,-0.22188020,-0.02836807,-0.03802538
558,-0.22185935,-0.02836956,-0.03801244
559,-0.22183041,-0.02836776,-0.03799635
560,-0.22180492,-0.02834652,-0.03797954
561,-0.22176994,-0.02833786,-0.03796154
562,-0.22172780,-0.02833270,-0.03794140
563,-0.22168954,-0.02835944,-0.03792191
564,-0.22164334,-0.02842628,-0.03790218
565,-0.22159621,-0.02850882,-0.03788310
566,-0.22154348,-0.02856265,-0.03786349
567,-0.22149999,-0.02860317,-0.03784591
568,-0.22145300,-0.02864046,-0.03782815
569,-0.22138584,-0.02870172,-0.03780872
570,-0.22132561,-0.02878500,-0.03779072
571,-0.22126085,-0.02886472,-0.03777206
572,-0.22120127,-0.02891888,-0.03775305
573,-0.22113510,-0.02899391,-0.03773415
