frame,health,est_x,est_y,est_z,ref_x,ref_y,ref_z
194,0,3.514881,-3.414102,0.0,0.638721,-0.983506,0.0
195,0,3.514881,-3.414102,0.0,0.564,-0.870415,0.0
196,0,3.514881,-3.414102,0.0,0.48912,-0.756346,0.0
197,0,3.514881,-3.414102,0.0,0.414104,-0.641428,0.0
198,0,3.514881,-3.414102,0.0,0.338971,-0.52579,0.0
199,0,3.514881,-3.414102,0.0,0.263743,-0.409561,0.0
200,0,3.514881,-3.414102,0.0,0.18844,-0.292872,0.0
201,0,3.514881,-3.414102,0.0,0.113085,-0.175855,0.0
202,0,3.514881,-3.414102,0.0,0.037699,-0.05864,0.0
203,0,3.514881,-3.414102,0.0,-0.037699,0.05864,0.0
204,0,3.514881,-3.414102,0.0,-0.113085,0.175855,0.0
205,0,3.514881,-3.414102,0.0,-0.18844,0.292872,0.0
206,0,3.514881,-3.414102,0.0,-0.263743,0.409561,0.0
207,0,3.514881,-3.414102,0.0,-0.338971,0.52579,0.0
208,0,3.514881,-3.414102,0.0,-0.414104,0.641428,0.0
209,0,3.514881,-3.414102,0.0,-0.48912,0.756346,0.0
210,0,3.514881,-3.414102,0.0,-0.564,0.870415,0.0
211,0,3.514881,-3.414102,0.0,-0.638721,0.983506,0.0
212,0,3.514881,-3.414102,0.0,-0.713262,1.095493,0.0
213,0,3.514881,-3.414102,0.0,-0.787604,1.20625,0.0
214,0,3.514881,-3.414102,0.0,-0.861724,1.315653,0.0
215,0,3.514881,-3.414102,0.0,-0.935603,1.423578,0.0
216,0,3.514881,-3.414102,0.0,-1.009218,1.529905,0.0
217,0,3.514881,-3.414102,0.0,-1.082551,1.634514,0.0
218,0,3.514881,-3.414102,0.0,-1.15558,1.737288,0.0
219,0,3.514881,-3.414102,0.0,-1.228284,1.838111,0.0
220,0,3.514881,-3.414102,0.0,-1.300643,1.93687,0.0
221,0,3.514881,-3.414102,0.0,-1.372637,2.033455,0.0
222,0,3.514881,-3.414102,0.0,-1.444246,2.127756,0.0
223,0,3.514881,-3.414102,0.0,-1.51545,2.219668,0.0
224,0,3.514881,-3.414102,0.0,-1.586228,2.309088,0.0
225,0,3.514881,-3.414102,0.0,-1.65656,2.395915,0.0
226,0,3.514881,-3.414102,0.0,-1.726428,2.480052,0.0
227,0,3.514881,-3.414102,0.0,-1.795811,2.561404,0.0
228,0,3.514881,-3.414102,0.0,-1.86469,2.63988,0.0
229,0,3.514881,-3.414102,0.0,-1.933046,2.715392,0.0
230,0,3.514881,-3.414102,0.0,-2.000858,2.787855,0.0
231,0,3.514881,-3.414102,0.0,-2.068109,2.857187,0.0
232,0,3.514881,-3.414102,0.0,-2.13478,2.923312,0.0
233,0,3.514881,-3.414102,0.0,-2.200851,2.986154,0.0
234,0,3.514881,-3.414102,0.0,-2.266304,3.045643,0.0
235,0,3.514881,-3.414102,0.0,-2.331122,3.101713,0.0
236,0,3.514881,-3.414102,0.0,-2.395284,3.154299,0.0
237,0,3.514881,-3.414102,0.0,-2.458775,3.203344,0.0
238,0,3.514881,-3.414102,0.0,-2.521575,3.248792,0.0
239,0,3.514881,-3.414102,0.0,-2.583667,3.290592,0.0
240,0,3.514881,-3.414102,0.0,-2.645034,3.328698,0.0
241,0,3.514881,-3.414102,0.0,-2.705658,3.363066,0.0
242,0,3.514881,-3.414102,0.0,-2.765523,3.393657,0.0
243,0,3.514881,-3.414102,0.0,-2.824611,3.420438,0.0
244,0,3.514881,-3.414102,0.0,-2.882907,3.443379,0.0
245,0,3.514881,-3.414102,0.0,-2.940393,3.462453,0.0
